" 表 7-4 就業保險失業給付情形 ","","","","  Table 7-4 Unemployment Benefits under Employment Insurance","","","","","",
" ","  受　　理　　件　　數　(件)   　　Cases of acceptance (Case)","",""," 核　付　件　數 (件)  　Cases of issue beneficiary (Case)  ˉ","",""," 核付金額"," 推介就業人數"," 安排職訓人數",
" 年　　別 總　　　計 ",""," 初次認定申請件數"," 再次認定申請件數"," 總　　　計"," 初次認定核付件數"," 再次認定核付件數","  (千元)","  (人)","  (人)ˉ",
,,,,"","","","",""," Persons receiving",
" Year ",""," Cases of first","",""," Cases of first"," Cases of re-confirm","  Amount","  Placement"," vocational training",
" Grand total ",""," application"," Cases of re-application"," Grand total"," confirm beneficiary"," beneficiary"," (NT$1000)","  (Person)","  (Person)",
"  92年  2003 ","336833","68680","268153","325340","64537","260803","5458734","6456","7004",
"  93年  2004 ","221510","49506","172004","212097","46154","165943","3680158","10364","5227",
"  94年  2005 ","254582","59094","195488","250600","57487","193113","4406324","10237","6350",
"  95年  2006 ","278764","65319","213445","276811","63494","213317","4957930","12158","6006",
"  96年  2007 ","300089","70247","229842","298859","68563","230296","5353019","25028","8469",
"  97年  2008 ","389472","117712","271760","370190","106495","263695","6645871","39149","9723",
"  98年  2009 ","1135469","217316","918153","1119303","208772","910531","20824877","81612","30556",
"  99年  2010 ","492263","86786","405477","494843","84016","410827","9910795","64993","17338",
" 100年  2011 ","290813","66834","223979","286526","64037","222489","5909851","49924","11728",
" 101年  2012 ","307032","77458","229574","304638","75821","228817","6491665","48560","7404",
" 102年  2013 ","333817","75489","258328","330467","74021","256446","7213048","50310","4933",
" 103年  2014 ","287076","66843","220233","285469","65319","220150","6354789","47382","7107",
" 104年  2015 ","301078","74225","226853","296620","72623","223997","6643140","53351","6769",
" 105年  2016 ","327157","76117","251040","324946","74715","250231","7335278","61158","7108",
" 106年  2017 ","351498","78750","272748","349338","77863","271475","7955180","67570","8193",
" 107年  2018 ","359186","81678","277508","357603","80832","276771","8208106","60736","6875",
" 108年  2019 ","397666","90359","307307","393789","88536","305253","9086006","67996","8645",
" 109年  2020 ","513758","109509","404249","508329","107553","400776","11551688","83037","11775",
" 110年  2021 ","414949","86118","328831","415503","83910","331593","9457958","73359","6999",
" 111年  2022 ","331983","70160","261823","330071","68056","262015","8120524","58875","5943",
" 112年  2023 ","396517","88124","308393","392193","85534","306659","9868584","70055","7680",
" 資料來源： 勞動部勞工保險局、公立就業服務機構。 ","","",""," Source：  Bureau of Labor Insurance, MOL. and Public employment service institutes.","","","","","",
" 說       明： 1.98年5月起修正就業保險法，失業給付申請人於離職辦理本保險退保時，已年滿45歲或領有社政主管機關核 ","","",""," Note：  1.According to the amendment of Employment Insurance in May 2009, in the event that the applicant is 45 years old or older","","","","","",
"    發之身心障礙證明者，失業給付最長發給9個月。 ","","","","     when separated from employment and withdrawn from this insurance program or has proof of mental or physical impairment","","","","","",
" 2.98年5月起修正就業保險法，被保險人非自願離職退保後，於請領失業給付或職業訓練生活津貼期間，有扶 ","","","","     issued by the competent authority, payment of unemployment benefits may be extended to a maximum of nine months.","","","","","",
"    養眷屬者(係指無工作收入之配偶、未成年子女或身心障礙子女)，每扶養一名眷屬按申請人退保之當月起前 ","","","","  2.When an insured person is receiving unemployment benefits or the vocational training living allowance, an extra 10% of the","","","","","",
"    6個月平均月投保薪資10%加給給付或津貼，最多計至20%。 ","","","","     insured person's average insured monthly salary in the six months right before employment separation and withdrawal from this","","","","","",
" 3.領滿失業給付期間者，自領滿之日起2年內再次請領失業給付，其失業給付以發給原給付期間之二分之一為 ","","","","     insurance program shall be added as the benefits or allowance for each one of the insured person's dependents (dependents refer","","","","","",
"    限。 ","","","","     to the insured person's non-working spouse, minor children or children with mental or physical impairment). The said extra","","","","","",
,,,,"     benefits or allowance shall be given for up to two dependents.","","","","","",
,,,,"  3.The unemployment benefits for people reapplying within two years after receiving unemployment benefits throughout the period","","","","","",
,,,,"     prescribed in the four preceding paragraphs shall be no more than half of the normal benefits.","","","","","",
" ","   -206-","","","","","   -207-","","","",
